,Unnamed: 0,summary,description
0,0,Bug 31460 Weaving class loader, hi discuss mail list day ago implement weav class loader enabl bytecod base weav class load time. class loader base class loader use like class loader. addit add aspect weav loader. aspect got woven class load. test case class loader implement yet still think implement. contribut later okay martin.
1,1,Bug 219830 java.lang.NullPointerException in Java15AnnotationFinder when using SWT, receiv follow except run swt aspject load time weav spring framework. line around org aspectj weaver reflect java annot finder annot java annot finder java follow int ann length set add world resolv unresolv type signatur ann type signatur use debugg see world null valu. attach strip eclips project gener error startup. runtim argument follow javaag resourc aspect bug lib spring agent jar app class loader abort troubl final class org eclips swt awt. swt_awt extend java lang object implement java lang runnabl privat final java awt frame val frame synthet void init java awt frame aload_ lorg eclips swt awt swt_awt line invokespeci java lang object init constructor execut void org eclips swt awt. swt_awt init java awt frame aload_ lorg eclips swt awt swt_awt line aload_ putfield org eclips swt awt. swt_awt val frame ljava awt frame return constructor execut void org eclips swt awt. swt_awt init java awt frame end void init java awt frame public void run method execut void org eclips swt awt. swt_awt run catch java lang throwabl ldc sun awt window. compon peer line method call java lang class java lang class name java lang string invokestat java lang class name ljava lang string ljava lang class method call java lang class java lang class name java lang string astore_ aload_ ljava lang class clazz line ldc graphic config method call java lang reflect field java lang class declar field java lang string invokevirtu java lang class declar field ljava lang string ljava lang reflect field method call java lang reflect field java lang class declar field java lang string astore_ aload_ ljava lang reflect field field line iconst_ method call void java lang reflect field access boolean invokevirtu java lang reflect field access method call void java lang reflect field access boolean aload_ ljava lang reflect field field line aload_ lorg eclips swt awt swt_awt getfield org eclips swt awt. swt_awt val frame ljava awt frame method call java awt peer compon peer java awt frame peer invokevirtu java awt frame peer ljava awt peer compon peer method call java awt peer compon peer java awt frame peer aload_ lorg eclips swt awt swt_awt getfield org eclips swt awt. swt_awt val frame ljava awt frame invokevirtu java awt frame graphic configur ljava awt graphic configur invokevirtu java lang reflect field set ljava lang object ljava lang object catch java lang throwabl goto pop line return line method execut void org eclips swt awt. swt_awt run end public void run end final class org eclips swt awt. swt_awt null pointer except null null java lang null pointer except org aspectj weaver reflect java annot finder annot java annot finder java org aspectj weaver reflect reflect base resolv member impl annot reflect base resolv member impl java org aspectj weaver reflect reflect base resolv member impl annot reflect base resolv member impl java org aspectj weaver pattern exact annot type pattern match exact annot type pattern java org aspectj weaver pattern annot pointcut intern annot pointcut java org aspectj weaver pattern pointcut match pointcut java org aspectj weaver pattern and pointcut intern and pointcut java org aspectj weaver pattern pointcut match pointcut java org aspectj weaver shadow munger match shadow munger java org aspectj weaver advic match advic java org aspectj weaver bcel bcel advic match bcel advic java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver invok instruct bcel class weaver java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver tool weav adaptor woven byte weav adaptor java org aspectj weaver tool weav adaptor class weav adaptor java org aspectj weaver loadtim aj process aj java org aspectj weaver loadtim class pre processor agent adapt transform class pre processor agent adapt java org springframework context weav aspect weav enabl aspect class bypass class file transform decor transform aspect weav enabl java sun instrument transform manag transform transform manag java sun instrument instrument impl transform instrument impl java java lang class loader class impl nativ method java lang class loader class class loader java java secur secur class loader class secur class loader java java net. class loader class class loader java java net. class loader access class loader java java net. class loader class finder run class loader java java secur access control privileg access control java java net. class loader class class loader java java lang class loader class class loader java sun misc launcher app class loader class launcher java java lang class loader class class loader java org eclips swt awt. swt_awt frame swt_awt java feb pm org aspectj weaver tool jdk trace error sever org eclips swt awt swt_awt java lang null pointer except org aspectj weaver reflect java annot finder annot java annot finder java org aspectj weaver reflect reflect base resolv member impl annot reflect base resolv member impl java org aspectj weaver reflect reflect base resolv member impl annot reflect base resolv member impl java org aspectj weaver pattern exact annot type pattern match exact annot type pattern java org aspectj weaver pattern annot pointcut intern annot pointcut java org aspectj weaver pattern pointcut match pointcut java org aspectj weaver pattern and pointcut intern and pointcut java org aspectj weaver pattern pointcut match pointcut java org aspectj weaver shadow munger match shadow munger java org aspectj weaver advic match advic java org aspectj weaver bcel bcel advic match bcel advic java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver invok instruct bcel class weaver java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver match bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver tool weav adaptor woven byte weav adaptor java org aspectj weaver tool weav adaptor class weav adaptor java org aspectj weaver loadtim aj process aj java org aspectj weaver loadtim class pre processor agent adapt transform class pre processor agent adapt java org springframework context weav aspect weav enabl aspect class bypass class file transform decor transform aspect weav enabl java sun instrument transform manag transform transform manag java sun instrument instrument impl transform instrument impl java java lang class loader class impl nativ method java lang class loader class class loader java java secur secur class loader class secur class loader java java net. class loader class class loader java java net. class loader access class loader java java net. class loader class finder run class loader java java secur access control privileg access control java java net. class loader class class loader java java lang class loader class class loader java sun misc launcher app class loader class launcher java java lang class loader class class loader java org eclips swt awt. swt_awt frame swt_awt java.
2,2,Bug 175039 ArrayIndexOutOfBoundException Bug with Nested Type in TypeParameters, debug stack trace load time weav ajcor file also avail. found signatur argument type factori type from signatur string pjava lang enum ljavax jw soap bind paramet style method erron use empti array paramet think relat gener type paramet. fairli easi reproduc test case fix patch look tonight week java lang array index out of bound except org aspectj weaver resolv type member parameter map resolv type java org aspectj weaver refer type declar interfac refer type java org aspectj weaver resolv type direct supertyp resolv type java org aspectj weaver pattern type pattern subtyp type pattern java org aspectj weaver pattern type pattern subtyp type pattern java org aspectj weaver pattern type pattern static type pattern java org aspectj weaver loadtim class loader weav adaptor accept class loader weav adaptor java org aspectj weaver tool weav adaptor class weav adaptor java org aspectj weaver loadtim aj process aj java org aspectj weaver loadtim class pre processor agent adapt transform class pre processor agent adapt java sun instrument transform manag transform transform manag java sun instrument instrument impl transform instrument impl java java lang class loader class ljava lang string ljava secur protect domain ljava lang class unknown sourc java secur secur class loader class secur class loader java java net. class loader class class loader java java net. class loader access class loader java java net. class loader run class loader java java net. class loader class class loader java java lang class loader class ljava lang string ljava lang class unknown sourc sun misc launcher app class loader class launcher java java lang class loader class ljava lang string ljava lang class unknown sourc java lang class loader class from nativ ljava lang string ljava lang class unknown sourc java lang class name ljava lang string ljava lang class loader ljava lang class unknown sourc jrockit reflect member access class from field desc ljava lang string ljava lang class loader ljava lang class unknown sourc jrockit reflect member access return class from method desc ljava lang string ljava lang class loader ljava lang class unknown sourc.
3,3,Bug 231467 Cant Compile new Statement for the Generic Class, aspectj iajc error sourc inform avail aspectj iajc develop pi java src com centricsoftwar pi servic express func new matrix java intern compil error aspectj iajc java lang array index out of bound except aspectj iajc org aspectj weaver resolv type member parameter map resolv type java aspectj iajc org aspectj weaver refer type declar interfac refer type java aspectj iajc org aspectj weaver resolv type direct supertyp resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger includ super resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ binari type from aj lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ binari type from lookup environ java aspectj iajc org aspectj org eclips jdt intern compil compil accept compil java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ for type lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup unresolv refer bind resolv unresolv refer bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind member type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer next type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast type refer type type refer java aspectj iajc org aspectj org eclips jdt intern compil ast alloc express type alloc express java aspectj iajc org aspectj org eclips jdt intern compil ast local declar resolv local declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar statement abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast method declar statement method declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar resolv abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast compil unit declar resolv compil unit declar java aspectj iajc org aspectj org eclips jdt intern compil compil process compil java aspectj iajc org aspectj org eclips jdt intern compil compil compil compil java aspectj iajc org aspectj ajdt intern core builder aj build manag compil aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj tool ajc main run main java aspectj iajc org aspectj tool ajc main main main java aspectj iajc org aspectj tool ant taskdef ajc task in same ajc task java aspectj iajc org aspectj tool ant taskdef ajc task execut ajc task java aspectj iajc org apach tool ant unknown element execut unknown element java aspectj iajc sun reflect nativ method accessor impl invok nativ method aspectj iajc sun reflect nativ method accessor impl invok nativ method accessor impl java aspectj iajc sun reflect deleg method accessor impl invok deleg method accessor impl java aspectj iajc java lang reflect method invok method java aspectj iajc org apach tool ant dispatch dispatch util execut dispatch util java aspectj iajc org apach tool ant task perform task java aspectj iajc org apach tool ant target execut target java aspectj iajc org apach tool ant target task target java aspectj iajc org apach tool ant project sort target project java aspectj iajc org apach tool ant project target project java aspectj iajc org apach tool ant helper default executor target default executor java aspectj iajc org eclips ant intern ui antsupport eclips default executor target eclips default executor java aspectj iajc org apach tool ant project target project java aspectj iajc org eclips ant intern ui antsupport intern ant runner run intern ant runner java aspectj iajc org eclips ant intern ui antsupport intern ant runner main intern ant runner java aspectj iajc abort abort array index out of bound except aspectj iajc aspectj iajc java lang array index out of bound except aspectj iajc org aspectj weaver resolv type member parameter map resolv type java aspectj iajc org aspectj weaver refer type declar interfac refer type java aspectj iajc org aspectj weaver resolv type direct supertyp resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger includ super resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ binari type from aj lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ binari type from lookup environ java aspectj iajc org aspectj org eclips jdt intern compil compil accept compil java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ for type lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup unresolv refer bind resolv unresolv refer bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind member type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer next type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast type refer type type refer java aspectj iajc org aspectj org eclips jdt intern compil ast alloc express type alloc express java aspectj iajc org aspectj org eclips jdt intern compil ast local declar resolv local declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar statement abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast method declar statement method declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar resolv abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast compil unit declar resolv compil unit declar java aspectj iajc org aspectj org eclips jdt intern compil compil process compil java aspectj iajc org aspectj org eclips jdt intern compil compil compil compil java aspectj iajc org aspectj ajdt intern core builder aj build manag compil aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj tool ajc main run main java aspectj iajc org aspectj tool ajc main main main java aspectj iajc org aspectj tool ant taskdef ajc task in same ajc task java aspectj iajc org aspectj tool ant taskdef ajc task execut ajc task java aspectj iajc org apach tool ant unknown element execut unknown element java aspectj iajc sun reflect nativ method accessor impl invok nativ method aspectj iajc sun reflect nativ method accessor impl invok nativ method accessor impl java aspectj iajc sun reflect deleg method accessor impl invok deleg method accessor impl java aspectj iajc java lang reflect method invok method java aspectj iajc org apach tool ant dispatch dispatch util execut dispatch util java aspectj iajc org apach tool ant task perform task java aspectj iajc org apach tool ant target execut target java aspectj iajc org apach tool ant target task target java aspectj iajc org apach tool ant project sort target project java aspectj iajc org apach tool ant project target project java aspectj iajc org apach tool ant helper default executor target default executor java aspectj iajc org eclips ant intern ui antsupport eclips default executor target eclips default executor java aspectj iajc org apach tool ant project target project java aspectj iajc org eclips ant intern ui antsupport intern ant runner run intern ant runner java aspectj iajc org eclips ant intern ui antsupport intern ant runner main intern ant runner java aspectj iajc may org aspectj weaver tool jdk trace info aspectj iajc info dump develop pi project pi servic common ajcor txt aspectj iajc messag holder info error abort aspectj iajc error error sourc inform avail aspectj iajc develop pi java src com centricsoftwar pi servic express func new matrix java intern compil error aspectj iajc java lang array index out of bound except aspectj iajc org aspectj weaver resolv type member parameter map resolv type java aspectj iajc org aspectj weaver refer type declar interfac refer type java aspectj iajc org aspectj weaver resolv type direct supertyp resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj weaver resolv type inter type munger includ super resolv type java aspectj iajc org aspectj weaver resolv type inter type munger resolv type java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ inter type declar aj lookup environ java aspectj iajc org aspectj ajdt intern compil lookup aj lookup environ binari type from aj lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ binari type from lookup environ java aspectj iajc org aspectj org eclips jdt intern compil compil accept compil java aspectj iajc org aspectj org eclips jdt intern compil lookup lookup environ for type lookup environ java aspectj iajc org aspectj org eclips jdt intern compil lookup unresolv refer bind resolv unresolv refer bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup binari type bind member type binari type bind java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil lookup scope member type scope java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer next type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast qualifi type refer type bind qualifi type refer java aspectj iajc org aspectj org eclips jdt intern compil ast type refer type type refer java aspectj iajc org aspectj org eclips jdt intern compil ast alloc express type alloc express java aspectj iajc org aspectj org eclips jdt intern compil ast local declar resolv local declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar statement abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast method declar statement method declar java aspectj iajc org aspectj org eclips jdt intern compil ast abstract method declar resolv abstract method declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast type declar resolv type declar java aspectj iajc org aspectj org eclips jdt intern compil ast compil unit declar resolv compil unit declar java aspectj iajc org aspectj org eclips jdt intern compil compil process compil java aspectj iajc org aspectj org eclips jdt intern compil compil compil compil java aspectj iajc org aspectj ajdt intern core builder aj build manag compil aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt intern core builder aj build manag build aj build manag java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj ajdt ajc ajdt command command ajdt command java aspectj iajc org aspectj tool ajc main run main java aspectj iajc org aspectj tool ajc main main main java aspectj iajc org aspectj tool ant taskdef ajc task in same ajc task java aspectj iajc org aspectj tool ant taskdef ajc task execut ajc task java aspectj iajc org apach tool ant unknown element execut unknown element java aspectj iajc sun reflect nativ method accessor impl invok nativ method aspectj iajc sun reflect nativ method accessor impl invok nativ method accessor impl java aspectj iajc sun reflect deleg method accessor impl invok deleg method accessor impl java aspectj iajc java lang reflect method invok method java aspectj iajc org apach tool ant dispatch dispatch util execut dispatch util java aspectj iajc org apach tool ant task perform task java aspectj iajc org apach tool ant target execut target java aspectj iajc org apach tool ant target task target java aspectj iajc org apach tool ant project sort target project java aspectj iajc org apach tool ant project target project java aspectj iajc org apach tool ant helper default executor target default executor java aspectj iajc org eclips ant intern ui antsupport eclips default executor target eclips default executor java aspectj iajc org apach tool ant project target project java aspectj iajc org eclips ant intern ui antsupport intern ant runner run intern ant runner java aspectj iajc org eclips ant intern ui antsupport intern ant runner main intern ant runner java.
4,4,"Bug 30663 lame error message: ""negation doesn't allow binding""", aspect compil beta program public aspect foo pointcut int call void produc error messag negat allow bind formal unbound pointcut error say someth like bind allow state base pointcut print file line number. doug.
5,5,Bug 73433 AspectJ does not correctly support -cp, discov andi brodi. cp shorthand classpath support jdt compil. aspect correctli support cp option. look exampl aspectj ajc inpath injar jar outjar outjar jar cp lib aspectjrt jar error find type org aspectj lang join point error aspectj ajc inpath injar jar outjar outjar jar classpath lib aspectjrt jar due arg parser aspect recogn classpath. fail encount cp ignor pass jdt process. fix recogn cp.
6,6,Bug 103051 Declare Soft not Affecting Explicit Adviceexecution, follow aspect compil success import java io. except public aspect soften advic declar soft except within soften advic adviceexecut execut main.. throw new except test public static void main string arg head day ago give output devel scratch err ajc soften advic aj devel scratch err soften advic aj error unhandl except type except ion throw new except test error howev chang declar soft follow correctli soften advic execut join point declar soft except within soften advic withincod...
7,7,Bug 48072 Complete relationship information in the structure model, complet set relationship surfac structur model. includ support declar parent etc. mik document list thing yet done.
8,8,Bug 116254 AjTypeSystem interface cannot be used in LTW environment,
9,9,Bug 341446 java.lang.UnsupportedClassVersionError when running Java 1.5,
